CLIENTNUM,Attrition_Flag
788544108,0.0
719356008,0.01
712142733,0.11
789394833,0.0
742778358,0.0
720963258,0.99
720270633,0.82
805453908,0.0
772148058,0.46
711298458,0.91
778224858,0.0
714900408,0.25
712104333,0.0
716357058,0.33
715571583,0.0
709175208,0.0
712597233,0.65
713539833,0.11
713761608,0.04
803366358,0.02
712452033,0.32
717556758,0.0
709415583,0.02
709668408,0.29
714145233,0.82
709074108,0.0
788776908,0.0
819610908,0.71
720810783,0.83
712089108,0.03
778724058,0.01
713569158,0.75
824667708,0.0
807349158,0.01
714923583,0.8
787578183,0.02
780074733,0.03
715844733,0.02
813901458,0.03
805254708,0.04
710505483,0.02
713466033,0.94
718982058,0.0
771086208,0.12
713965683,0.02
779916408,0.02
789173958,0.0
714320358,0.2
714726858,0.4
721409358,0.03
717355533,0.02
716736858,0.0
720807183,0.0
710475408,0.02
709934808,0.04
718821783,0.01
712582983,0.31
779164608,0.0
713655108,0.01
718957083,0.0
709865883,0.66
715052583,0.0
715655283,0.01
711019308,0.01
821149008,0.37
712052058,0.01
778268508,0.0
718861458,0.01
758211483,0.03
711136008,0.01
717094758,0.0
721220583,0.0
743800833,0.01
714315858,0.19
713370033,0.54
713993208,0.01
712117983,0.03
720725058,0.79
718663983,0.01
784795083,0.11
758583708,0.52
711382458,0.98
710192283,0.0
716548083,0.06
709045683,0.01
719517258,0.0
709000008,0.21
718056033,0.13
717181833,0.01
748827033,0.03
717480783,0.0
708286683,0.02
771403008,0.03
713537733,0.02
720916683,0.04
710500983,0.58
795599883,0.93
715418508,0.03
779480658,0.05
712200033,0.02
771799008,0.0
718863258,0.97
779528658,0.17
710808108,0.37
714770808,0.28
720470133,0.0
797666358,0.01
715499058,0.88
712655583,0.12
778755858,0.12
715105908,0.1
715698633,0.09
717334233,0.05
711010683,0.0
708288108,0.71
788797983,0.02
719978583,0.03
720902133,0.32
708824958,0.01
712732908,0.0
792272658,0.0
712737108,0.01
708615183,0.01
714487458,0.89
709857033,0.0
817616433,0.0
809559933,0.82
717701733,0.0
779342958,0.05
719073483,0.96
718121658,0.76
717076458,0.0
715354983,0.0
715670058,0.0
785410158,0.01
720848733,0.12
721511883,0.0
771215583,0.01
715123983,0.12
779956608,0.17
801989733,0.0
708241233,0.81
716974383,0.05
709210833,0.0
711392508,0.0
809818008,0.12
779149683,0.0
713879283,0.01
717195933,0.97
718220358,0.81
708522033,0.01
711822933,0.0
813182658,0.0
789430083,0.0
714523383,0.12
711830433,0.0
779170008,0.02
717846108,0.0
717534108,0.0
710710233,0.18
789304983,0.03
719621958,0.97
715294083,0.84
719365233,0.0
710438358,0.99
719036883,0.13
716596308,0.06
720000708,0.06
716303583,0.0
721181883,0.14
713301633,0.0
712544358,0.07
717410508,0.01
827114058,0.01
709476033,0.0
711342483,0.03
710306358,0.56
714757083,0.39
786546783,0.04
714304458,0.45
719756133,0.52
713089458,0.0
713079108,0.02
797232183,0.0
767695083,0.6
712828533,0.0
716099958,0.64
709112508,0.88
713382558,0.0
712973733,0.27
716977758,0.55
714012258,0.0
708989358,0.0
714031983,0.0
778152108,0.0
716204883,0.0
711309033,0.0
715708308,0.0
826783233,0.0
764211033,0.0
708878508,0.0
720529308,0.33
715779333,0.05
820346133,0.03
713108433,0.08
709807383,0.01
717414933,0.02
712428333,0.0
710773533,0.0
716138958,0.01
779536233,0.02
721250358,0.06
799000008,0.03
